,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
204,0.0,190.0,4.6,5.0,-35.0,65.8,112.0,0.3917,0.025
205,0.0,95.0,10.7,8.0,-1.0,57.1,107.0,0.4164,0.0231
206,0.0,243.0,14.0,9.0,13.0,10.9,99.0,0.4493,0.0256
207,0.0,207.0,7.7,180.0,-13.0,104.1,100.0,0.4582,0.0254
208,0.0,105.0,4.1,4.0,8.0,22.2,108.0,0.4162,0.0236
209,0.0,176.0,14.6,8.0,-30.0,103.2,80.0,0.3933,0.0257
210,0.0,203.0,12.3,4.0,35.0,55.3,82.0,0.4214,0.0252
211,0.0,160.0,8.4,11.0,2.0,119.4,83.0,0.4013,0.0255
212,0.0,117.0,13.5,20.0,-24.0,92.0,76.0,0.3741,0.0238
213,0.0,136.0,4.7,360.0,0.0,2.4,89.0,0.4914,0.0238
214,0.0,102.0,8.7,12.0,-41.0,100.3,97.0,0.3645,0.0237
215,0.0,182.0,1.5,4.0,25.0,82.1,120.0,0.3829,0.0251
216,0.0,216.0,6.4,4.0,31.0,77.3,96.0,0.4881,0.0257
217,0.0,155.0,8.6,19.0,-13.0,82.8,80.0,0.3627,0.0247
218,0.0,251.0,3.4,45.0,0.0,84.1,113.0,0.4703,0.0257
219,0.0,147.0,4.3,6.0,36.0,108.8,107.0,0.3826,0.0243
220,0.0,249.0,8.3,7.0,15.0,73.8,91.0,0.4939,0.0258
221,0.0,253.0,8.2,6.0,-19.0,48.0,98.0,0.4457,0.0257
222,0.0,199.0,12.6,5.0,-5.0,114.1,82.0,0.4319,0.026
223,0.0,107.0,9.2,5.0,45.0,57.7,100.0,0.4016,0.0238
224,0.0,248.0,2.8,6.0,-11.0,27.6,86.0,0.4268,0.0256
225,0.0,158.0,1.9,26.0,29.0,5.9,127.0,0.416,0.0241
226,0.0,223.0,12.5,5.0,-6.0,31.3,87.0,0.4107,0.0255
227,0.0,190.0,5.4,4.0,42.0,19.1,115.0,0.4129,0.0249
228,0.0,250.0,6.6,21.0,-34.0,26.8,98.0,0.4376,0.0254
229,0.0,134.0,9.1,4.0,32.0,71.8,89.0,0.3557,0.0241
230,0.0,191.0,1.7,8.0,31.0,56.2,134.0,0.4004,0.0249
231,0.0,169.0,1.7,10.0,-21.0,30.2,121.0,0.4134,0.0242
232,0.0,232.0,11.0,5.0,-40.0,24.1,90.0,0.4049,0.0255
233,0.0,255.0,9.8,7.0,-33.0,114.3,96.0,0.5067,0.0263
234,0.0,191.0,11.0,60.0,23.0,32.8,80.0,0.4501,0.0246
235,0.0,207.0,14.6,5.0,-37.0,90.0,83.0,0.4084,0.026
236,0.0,171.0,14.0,14.0,38.0,75.8,77.0,0.3987,0.0248
237,0.0,100.0,13.4,5.0,-37.0,67.0,79.0,0.3851,0.0233
238,0.0,241.0,14.0,4.0,16.0,40.3,105.0,0.4915,0.0257
239,0.0,148.0,5.3,6.0,15.0,86.6,110.0,0.3954,0.0243
240,0.0,244.0,7.3,14.0,-17.0,102.0,93.0,0.4514,0.0259
241,0.0,175.0,14.9,17.0,1.0,108.1,77.0,0.4141,0.0256
242,0.0,115.0,7.5,4.0,-30.0,57.1,114.0,0.3679,0.0238
243,0.0,226.0,14.7,5.0,-14.0,63.2,76.0,0.4362,0.0258
244,0.0,206.0,10.7,19.0,-27.0,114.8,68.0,0.4456,0.0265
245,0.0,237.0,9.0,8.0,-10.0,17.4,102.0,0.4279,0.0252
246,0.0,192.0,10.1,360.0,-26.0,31.7,74.0,0.5707,0.0238
247,0.0,165.0,4.5,60.0,-31.0,49.0,70.0,0.4081,0.024
248,0.0,174.0,10.5,360.0,-23.0,106.2,81.0,0.6193,0.0233
249,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.3865,0.0234
250,0.0,95.0,10.0,360.0,0.0,1.7,87.0,0.4488,0.0236
251,0.0,200.0,10.0,360.0,0.0,3.5,78.0,0.56,0.0235
264,1.0,0.0,0.0,0.0,0.0,0.0,626.0,0.3772,0.0236
265,1.0,95.0,10.0,360.0,0.0,1.7,382.0,0.2971,0.0225
266,1.0,200.0,10.0,360.0,0.0,3.5,303.0,0.3588,0.024
267,1.0,159.2,5.8,330.0,29.8,57.6,255.0,0.3376,0.0237
268,1.0,116.2,1.1,52.0,39.6,35.7,621.0,0.2911,0.0241
269,1.0,190.7,4.6,338.0,21.6,46.5,369.0,0.3489,0.024
