,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
165,0.0,146.0,8.0,181.0,42.0,128.0,42.0,0.2409,0.0248
166,0.0,233.0,2.0,192.0,41.0,63.0,78.0,0.2574,0.0259
167,0.0,141.0,2.0,240.0,39.0,93.0,46.0,0.2704,0.0245
168,0.0,190.0,2.0,238.0,11.0,43.0,46.0,0.2049,0.024
169,0.0,208.0,6.0,179.0,16.0,27.0,48.0,0.1919,0.0236
170,0.0,191.0,19.0,300.0,30.0,114.0,48.0,0.4304,0.0269
171,0.0,157.0,15.0,252.0,29.0,10.0,42.0,0.2323,0.0247
172,0.0,250.0,4.0,210.0,38.0,111.0,50.0,0.3638,0.0286
173,0.0,211.0,2.0,327.0,37.0,121.0,50.0,0.5226,0.0265
174,0.0,115.0,13.0,133.0,35.0,108.0,46.0,0.1918,0.0235
175,0.0,107.0,4.0,231.0,18.0,34.0,72.0,0.221,0.0243
176,0.0,185.0,18.0,46.0,44.0,12.0,36.0,0.1917,0.0235
177,0.0,210.0,11.0,155.0,45.0,82.0,38.0,0.2376,0.0253
178,0.0,218.0,17.0,95.0,21.0,73.0,52.0,0.1873,0.0238
179,0.0,224.0,1.0,217.0,13.0,118.0,56.0,0.2739,0.0265
180,0.0,145.0,17.0,334.0,2.0,24.0,52.0,0.2825,0.0255
181,0.0,118.0,15.0,112.0,16.0,100.0,44.0,0.1808,0.0232
182,0.0,208.0,11.0,207.0,24.0,6.0,50.0,0.2054,0.0243
183,0.0,140.0,5.0,324.0,26.0,15.0,42.0,0.2886,0.0252
184,0.0,230.0,4.0,85.0,3.0,113.0,58.0,0.2034,0.0247
185,0.0,98.0,5.0,286.0,35.0,9.0,48.0,0.2633,0.0247
186,0.0,121.0,16.0,107.0,41.0,67.0,38.0,0.1948,0.0236
187,0.0,229.0,18.0,226.0,12.0,62.0,66.0,0.2645,0.026
188,0.0,230.0,12.0,115.0,4.0,23.0,56.0,0.1883,0.0237
189,0.0,159.0,14.0,183.0,30.0,51.0,46.0,0.2017,0.0239
190,0.0,238.0,9.0,323.0,42.0,68.0,50.0,0.5121,0.0275
191,0.0,244.0,8.0,340.0,14.0,127.0,46.0,0.5538,0.0277
192,0.0,248.0,15.0,145.0,41.0,19.0,72.0,0.2163,0.0248
193,0.0,110.0,5.0,26.0,15.0,100.0,46.0,0.1975,0.0238
194,0.0,180.0,5.0,269.0,5.0,140.0,40.0,0.303,0.026
195,0.0,182.0,4.0,36.0,6.0,20.0,48.0,0.1899,0.0234
196,0.0,171.0,12.0,264.0,30.0,136.0,34.0,0.3564,0.0263
197,0.0,213.0,1.0,136.0,29.0,83.0,72.0,0.1906,0.0237
198,0.0,130.0,2.0,123.0,45.0,88.0,46.0,0.1958,0.0235
199,0.0,112.0,5.0,39.0,43.0,30.0,62.0,0.2182,0.024
200,0.0,171.0,19.0,279.0,19.0,7.0,42.0,0.2517,0.0252
201,0.0,206.0,10.0,8.0,24.0,18.0,48.0,0.1781,0.0231
202,0.0,193.0,8.0,60.0,5.0,149.0,36.0,0.1752,0.0237
203,0.0,241.0,4.0,75.0,21.0,96.0,56.0,0.2147,0.0251
204,0.0,215.0,19.0,28.0,36.0,138.0,32.0,0.1898,0.0246
205,0.0,188.0,12.0,148.0,36.0,126.0,50.0,0.2211,0.0251
206,0.0,243.0,7.0,220.0,10.0,146.0,34.0,0.3501,0.0284
207,0.0,192.0,20.0,128.0,11.0,91.0,38.0,0.1822,0.0235
208,0.0,236.0,1.0,302.0,39.0,2.0,68.0,0.3059,0.0264
209,0.0,182.0,7.0,20.0,41.0,31.0,58.0,0.1828,0.0231
210,0.0,164.0,12.0,248.0,2.0,132.0,50.0,0.2638,0.0252
211,0.0,227.0,20.0,166.0,22.0,32.0,56.0,0.2027,0.0243
212,0.0,143.0,8.0,137.0,14.0,94.0,48.0,0.1837,0.0232
213,0.0,142.0,6.0,153.0,32.0,44.0,36.0,0.1971,0.0237
214,0.0,170.0,9.0,271.0,25.0,60.0,58.0,0.2699,0.0253
215,0.0,126.0,2.0,356.0,9.0,103.0,50.0,0.348,0.0249
216,0.0,148.0,10.0,52.0,14.0,115.0,42.0,0.1723,0.0231
217,0.0,104.0,3.0,200.0,40.0,60.0,48.0,0.2273,0.0242
218,0.0,216.0,19.0,190.0,44.0,55.0,54.0,0.2554,0.0258
219,0.0,129.0,5.0,229.0,6.0,107.0,46.0,0.2206,0.0239
220,0.0,201.0,6.0,88.0,16.0,113.0,44.0,0.1751,0.0232
221,0.0,114.0,17.0,289.0,26.0,26.0,32.0,0.2568,0.0249
222,0.0,125.0,19.0,176.0,16.0,129.0,30.0,0.2022,0.0239
223,0.0,254.0,16.0,50.0,2.0,102.0,48.0,0.2082,0.0252
224,0.0,121.0,7.0,236.0,44.0,92.0,40.0,0.267,0.0246
225,0.0,204.0,7.0,86.0,12.0,58.0,50.0,0.179,0.0232
226,0.0,159.0,7.0,146.0,37.0,88.0,42.0,0.2003,0.0238
227,0.0,134.0,14.0,327.0,39.0,44.0,44.0,0.3399,0.0253
228,0.0,179.0,12.0,33.0,26.0,68.0,44.0,0.1707,0.0228
229,0.0,176.0,16.0,141.0,44.0,35.0,54.0,0.195,0.0238
230,0.0,165.0,20.0,352.0,19.0,116.0,46.0,0.4645,0.0262
231,0.0,158.0,15.0,168.0,0.0,10.0,36.0,0.1937,0.0238
232,0.0,185.0,13.0,244.0,45.0,56.0,44.0,0.2867,0.0259
233,0.0,100.0,14.0,257.0,7.0,35.0,46.0,0.2236,0.0244
234,0.0,139.0,14.0,252.0,20.0,70.0,46.0,0.2453,0.0246
235,0.0,99.0,7.0,256.0,9.0,66.0,34.0,0.2221,0.0243
236,0.0,108.0,13.0,194.0,10.0,110.0,34.0,0.2112,0.0239
237,0.0,164.0,10.0,175.0,20.0,130.0,34.0,0.2116,0.0243
238,0.0,222.0,3.0,317.0,15.0,120.0,48.0,0.4313,0.0282
239,0.0,209.0,8.0,100.0,28.0,137.0,44.0,0.1991,0.0246
240,0.0,175.0,12.0,218.0,14.0,82.0,50.0,0.2202,0.0245
241,0.0,197.0,16.0,329.0,13.0,139.0,40.0,0.476,0.0271
242,0.0,116.0,10.0,285.0,18.0,138.0,32.0,0.3096,0.0251
243,0.0,160.0,4.0,186.0,14.0,137.0,56.0,0.2106,0.0241
244,0.0,255.0,12.0,262.0,36.0,99.0,46.0,0.4709,0.0287
245,0.0,189.0,8.0,273.0,38.0,79.0,54.0,0.3425,0.0264
246,0.0,110.0,4.0,42.0,21.0,1.0,74.0,0.2448,0.0244
247,0.0,106.0,20.0,83.0,13.0,55.0,52.0,0.2044,0.0239
248,0.0,189.0,2.0,315.0,7.0,13.0,60.0,0.26,0.0251
249,0.0,161.0,15.0,202.0,40.0,141.0,46.0,0.278,0.0257
250,0.0,186.0,10.0,129.0,29.0,33.0,56.0,0.1867,0.0235
251,0.0,163.0,12.0,77.0,38.0,91.0,34.0,0.1741,0.023
252,0.0,128.0,20.0,267.0,28.0,128.0,42.0,0.3175,0.0256
253,0.0,98.0,11.0,167.0,22.0,66.0,30.0,0.2095,0.0239
254,0.0,153.0,13.0,334.0,24.0,29.0,34.0,0.3231,0.0259
255,0.0,199.0,1.0,97.0,6.0,51.0,76.0,0.1725,0.023
256,0.0,102.0,3.0,242.0,17.0,139.0,52.0,0.2576,0.0246
257,0.0,113.0,13.0,247.0,33.0,84.0,54.0,0.255,0.0244
258,0.0,226.0,9.0,158.0,39.0,50.0,56.0,0.2205,0.0248
259,0.0,111.0,17.0,292.0,42.0,123.0,14.0,0.3462,0.0251
260,0.0,179.0,1.0,224.0,17.0,93.0,60.0,0.2216,0.0244
261,0.0,119.0,9.0,162.0,22.0,24.0,26.0,0.2088,0.024
262,0.0,132.0,11.0,105.0,40.0,38.0,48.0,0.2022,0.0238
263,0.0,155.0,13.0,275.0,11.0,11.0,60.0,0.2369,0.0248
264,0.0,235.0,2.0,65.0,13.0,34.0,78.0,0.181,0.0234
265,0.0,150.0,19.0,339.0,34.0,21.0,32.0,0.3503,0.0261
266,0.0,236.0,20.0,188.0,33.0,86.0,56.0,0.2905,0.0269
267,0.0,220.0,5.0,11.0,4.0,81.0,58.0,0.1694,0.0229
268,0.0,95.0,3.0,307.0,22.0,98.0,40.0,0.2802,0.0244
269,0.0,222.0,11.0,77.0,26.0,94.0,42.0,0.1983,0.0243
270,0.0,201.0,9.0,293.0,10.0,15.0,56.0,0.2655,0.0254
271,0.0,132.0,10.0,228.0,11.0,40.0,46.0,0.2115,0.0241
272,0.0,172.0,14.0,62.0,5.0,37.0,46.0,0.185,0.0233
273,0.0,181.0,5.0,354.0,12.0,50.0,50.0,0.3671,0.0266
274,0.0,174.0,3.0,260.0,32.0,73.0,70.0,0.2787,0.0253
275,0.0,138.0,3.0,150.0,5.0,54.0,74.0,0.191,0.0235
276,0.0,184.0,9.0,266.0,45.0,130.0,28.0,0.4068,0.0268
277,0.0,240.0,12.0,209.0,24.0,112.0,46.0,0.3343,0.028
278,0.0,137.0,14.0,55.0,12.0,72.0,34.0,0.1822,0.0233
279,0.0,196.0,15.0,51.0,17.0,25.0,50.0,0.1851,0.0233
280,0.0,173.0,18.0,125.0,24.0,23.0,32.0,0.186,0.0235
281,0.0,131.0,11.0,339.0,31.0,117.0,38.0,0.401,0.0252
282,0.0,251.0,20.0,312.0,38.0,118.0,54.0,0.6135,0.0262
283,0.0,121.0,6.0,117.0,8.0,134.0,32.0,0.1788,0.0233
284,0.0,214.0,20.0,302.0,5.0,37.0,40.0,0.3052,0.0263
285,0.0,245.0,16.0,99.0,35.0,98.0,34.0,0.2324,0.0259
286,0.0,161.0,15.0,296.0,33.0,90.0,42.0,0.3549,0.026
287,0.0,167.0,15.0,234.0,3.0,48.0,40.0,0.2007,0.0239
288,0.0,152.0,2.0,184.0,7.0,3.0,96.0,0.1956,0.0239
289,0.0,105.0,9.0,180.0,37.0,59.0,40.0,0.2186,0.0241
290,0.0,117.0,9.0,121.0,0.0,81.0,46.0,0.1894,0.0235
291,0.0,240.0,18.0,102.0,10.0,28.0,62.0,0.1936,0.0239
292,0.0,157.0,4.0,70.0,18.0,142.0,40.0,0.1709,0.0232
293,0.0,219.0,17.0,304.0,41.0,22.0,48.0,0.3813,0.0275
294,0.0,181.0,8.0,215.0,2.0,80.0,42.0,0.2007,0.0239
295,0.0,101.0,11.0,314.0,2.0,101.0,38.0,0.2697,0.0246
296,0.0,136.0,19.0,283.0,28.0,59.0,50.0,0.2789,0.0253
297,0.0,177.0,12.0,226.0,39.0,16.0,40.0,0.2211,0.0246
298,0.0,213.0,6.0,37.0,32.0,92.0,36.0,0.1755,0.0231
299,0.0,223.0,13.0,318.0,30.0,133.0,44.0,0.5419,0.0272
300,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.3799,0.0232
301,0.0,95.0,10.0,360.0,0.0,1.7,52.0,0.2796,0.0249
302,0.0,200.0,10.0,360.0,0.0,3.5,38.0,0.349,0.0266
303,0.0,159.2,5.8,330.0,29.8,57.6,48.0,0.3506,0.0259
304,0.0,116.02,1.1,52.0,39.6,35.7,82.0,0.2089,0.0239
305,0.0,190.7,4.6,338.0,21.6,46.5,68.0,0.3709,0.0266
306,1.0,0.0,0.0,0.0,0.0,0.0,626.0,0.3477,0.0231
307,1.0,95.0,10.0,360.0,0.0,1.7,382.0,0.1959,0.0231
308,1.0,200.0,10.0,360.0,0.0,3.5,303.0,0.1931,0.0221
309,1.0,159.2,5.8,330.0,29.8,57.6,255.0,0.1648,0.0213
310,1.0,116.2,1.1,52.0,39.6,35.7,621.0,0.1812,0.0227
311,1.0,190.7,4.6,338.0,21.6,46.5,369.0,0.1699,0.0214
