# LF noise: mean = 0.028096878554173674 +- 0.0034713745718688276
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Phi[deg],Theta[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
90,0,4.0,253.0,10.0,30.0,687.5493541569879,5.0,120.0,300.0,42.0,15146016.45,47,6.855654600401044,0.0004181420259425989,6.100503344470345e-05,0.20852100386477398,0.030711864451134965,0.029978434688950253,50000,118398
91,0,4.0,109.0,17.0,321.0,64.25694898663437,16.0,99.0,300.0,42.0,163768681.45,33,5.744562646538029,0.0002911208151382824,5.068500521873413e-05,0.14381264802828345,0.02520578393472586,0.025088485836981773,50000,120535
92,0,4.0,105.0,16.0,143.0,144.24112324971773,16.0,52.0,300.0,42.0,37164673.86,29,5.385164807134504,0.00025062006861804637,4.654480983161776e-05,0.12390245443369945,0.02314639373895617,0.02289768458039103,50000,122946
93,0,4.0,135.0,15.0,346.0,59.61410585176196,9.0,62.0,300.0,42.0,98654575.04,44,6.6332495807108,0.0003838101884159107,5.7872665849413025e-05,0.18988030134337966,0.028886219704863866,0.02873344791444802,50000,121722
94,0,4.0,163.0,9.0,316.0,65.27367286300519,43.0,39.0,300.0,42.0,34947735.79,37,6.082762530298219,0.00032769172179858473,5.388101322393495e-05,0.16221886051675288,0.02687305556399687,0.02675766838943136,50000,119811
95,0,4.0,225.0,8.0,51.0,404.440796562934,1.0,49.0,300.0,42.0,8726462.78,55,7.416198487095663,0.0004808701126110373,6.485610081561198e-05,0.23828022590372194,0.03249506429894358,0.03227919797797704,50000,121247
96,0,4.0,217.0,11.0,257.0,80.25867947357835,9.0,129.0,300.0,42.0,112997776.16,40,6.324555320336759,0.0003653868990527345,5.778329514708847e-05,0.18097417506016544,0.028851749805925368,0.028860077247634435,50000,116102
97,0,4.0,252.0,14.0,319.0,64.65981387056311,9.0,107.0,300.0,42.0,149582622.83,45,6.708203932499369,0.0004081188442074332,6.085117869329456e-05,0.2035258272798793,0.030622655589575932,0.02983291969418181,50000,116142
98,0,4.0,150.0,9.0,59.0,349.60136652050227,35.0,141.0,300.0,42.0,23890906.87,32,5.656854249492381,0.00029936478534609376,5.2928638148527347e-05,0.14774175943772974,0.026290729980579224,0.025767490947329594,50000,113774
99,0,4.0,100.0,6.0,17.0,1213.322389688802,6.0,17.0,300.0,42.0,943787.22,77,8.774964387392123,0.000644346072417804,7.34537032247206e-05,0.31867656962707813,0.03689293070030629,0.036198080524850525,50000,126922
100,0,4.0,205.0,16.0,43.0,479.68559592348,13.0,106.0,300.0,42.0,26788432.86,36,6.0,0.0003315802562378536,5.527253740246734e-05,0.16398409012948367,0.027534713395589022,0.02736635385582603,50000,115318
101,0,4.0,250.0,16.0,191.0,107.99204515554783,41.0,147.0,300.0,42.0,141882768.95,34,5.830951894845301,0.00032839136523880814,5.6327901032337085e-05,0.16404199500252614,0.028331607876276744,0.028129466838265765,50000,108873
102,0,4.0,233.0,1.0,72.0,286.4788975654116,37.0,31.0,300.0,42.0,1013642.09,76,8.717797887081348,0.0006382585619026823,7.32366389629023e-05,0.31634994237796366,0.03685637608242928,0.03571537452935332,50000,126195
103,0,4.0,155.0,10.0,349.0,59.10166368111641,16.0,78.0,300.0,42.0,83376597.2,32,5.656854249492381,0.000283088137722379,5.005046830740782e-05,0.13996445292323026,0.024906571911598775,0.02435304664953301,50000,120096
104,0,4.0,129.0,7.0,34.0,606.6611948444012,31.0,47.0,300.0,42.0,4169296.57,41,6.4031242374328485,0.0003512529449560934,5.4866127194874777e-05,0.17381102474119078,0.027375059588595055,0.02746925366973805,50000,123909
105,0,4.0,154.0,15.0,25.0,825.0592249883855,31.0,7.0,300.0,42.0,3479310.83,42,6.48074069840786,0.00035618878005342833,5.497090937718659e-05,0.17617354491752787,0.027420394656241128,0.02770020898461976,50000,125229
106,0,4.0,166.0,17.0,194.0,106.3220650758229,27.0,102.0,300.0,42.0,104495899.08,34,5.830951894845301,0.0003180959152742174,5.456167526239514e-05,0.15695630577837758,0.02710766188813487,0.027247070261305788,50000,113788
107,0,4.0,214.0,10.0,277.0,74.46382897007089,23.0,78.0,300.0,42.0,67970651.06,42,6.48074069840786,0.00038622820569410727,5.960781376456295e-05,0.19089926240148392,0.029712776850013247,0.02987067550383077,50000,115569
108,0,4.0,130.0,14.0,213.0,96.83793720520957,44.0,95.0,300.0,42.0,86811033.83,39,6.244997998398398,0.0003592119442576747,5.753027545685685e-05,0.1771639576682848,0.028598284811678754,0.028116742846350667,50000,115634
109,0,4.0,147.0,16.0,104.0,198.3315444683619,23.0,72.0,300.0,42.0,38613407.21,34,5.830951894845301,0.0003047195683736937,5.226693640098855e-05,0.1503699872184524,0.025969989249304052,0.02545393920783954,50000,118772
110,0,4.0,125.0,20.0,258.0,79.94759932058,8.0,49.0,300.0,42.0,78494079.42,30,5.477225575051661,0.0002627660506262591,4.7980600352559174e-05,0.12980829952986842,0.02384701973548583,0.02426544192844298,50000,121399
111,0,4.0,184.0,17.0,170.0,121.33223896888019,0.0,75.0,300.0,42.0,69340398.48,25,5.0,0.0002245132552625907,4.4907691389807245e-05,0.11097635313498415,0.022310405709043475,0.02200126583566356,50000,118333
112,0,4.0,111.0,17.0,18.0,1145.9155902616465,31.0,20.0,300.0,42.0,3586043.04,52,7.211102550927978,0.0004410068525680168,6.11701306777778e-05,0.2181596950200943,0.03057846577230739,0.030355396278201597,50000,125206
113,0,4.0,206.0,16.0,220.0,93.75673011231653,28.0,150.0,300.0,42.0,163354568.07,38,6.164414002968976,0.00037668143654404697,6.11173055760536e-05,0.18686647964494668,0.030552964482235902,0.030533613263650217,50000,106819
114,0,4.0,184.0,19.0,109.0,189.23376719917096,42.0,131.0,300.0,42.0,86309851.88,30,5.477225575051661,0.00030227918505531707,5.5196716624791875e-05,0.14920371295258852,0.027410641525618982,0.027113394125897496,50000,105618
115,0,4.0,232.0,20.0,172.0,119.92139898087,2.0,83.0,300.0,42.0,93636147.99,37,6.082762530298219,0.0003395429934844453,5.583000020512439e-05,0.16867523451831357,0.027942782790445802,0.02771048724840448,50000,115225
116,0,4.0,167.0,12.0,73.0,282.5545291056115,22.0,143.0,300.0,42.0,39996234.49,30,5.477225575051661,0.00028054425585636136,5.122732335774152e-05,0.1385785443967999,0.025458407072363628,0.025619706065898286,50000,113716
117,0,4.0,250.0,5.0,205.0,100.61697865712019,23.0,115.0,300.0,42.0,37405320.62,51,7.14142842854285,0.00046271513985791924,6.480806812788081e-05,0.2312619554636531,0.03272507100008581,0.03191970156550095,50000,115841
118,0,4.0,149.0,2.0,32.0,644.5775195221761,22.0,76.0,300.0,42.0,1745725.82,61,7.810249675906654,0.0005164283476832686,6.613894574766928e-05,0.2555710989429706,0.03313470561176109,0.03239164062279556,50000,125376
119,0,4.0,104.0,19.0,178.0,115.87910463320024,37.0,104.0,300.0,42.0,107324507.9,13,3.605551275463989,0.00011793415645326632,3.271097856338062e-05,0.05818465524629979,0.01618111106450025,0.016343941656861594,50000,117363
120,0,4.0,248.0,14.0,62.0,332.68517136628446,19.0,14.0,300.0,42.0,9683841.61,46,6.782329983125268,0.0004078845863961623,6.015156500028481e-05,0.2026755623905237,0.030167447938019225,0.0299709947728762,50000,119221
121,0,4.0,103.0,17.0,58.0,355.6289762880972,7.0,96.0,300.0,42.0,29934923.76,39,6.244997998398398,0.0003385828138836317,5.4225818531952935e-05,0.16740355201195042,0.02702248670761712,0.027734387929610665,50000,122376
122,0,4.0,238.0,19.0,336.0,61.3883351925882,23.0,119.0,300.0,42.0,235793764.02,41,6.4031242374328485,0.0003900304414003044,6.092439899528649e-05,0.19470360865952654,0.03066621991995872,0.030487721019446332,50000,110613
123,0,4.0,218.0,4.0,268.0,76.96447994294641,27.0,58.0,300.0,42.0,19891442.02,53,7.280109889280518,0.00047510622658084874,6.527636029801621e-05,0.23531958419132104,0.032678081131513104,0.03214122323451153,50000,118308
124,0,4.0,212.0,17.0,175.0,117.86560356976933,6.0,6.0,300.0,42.0,10956440.85,45,6.708203932499369,0.0004034101605572439,6.01489648036126e-05,0.19989426506054647,0.030076145835408283,0.029301054875265777,50000,118252
125,0,4.0,246.0,18.0,223.0,92.49542881035713,17.0,132.0,300.0,42.0,166836831.9,40,6.324555320336759,0.0003717644871973605,5.8792051987788425e-05,0.18557920944732273,0.029586033497329595,0.028994945758368574,50000,113221
126,0,4.0,227.0,1.0,159.0,129.72629323716754,20.0,150.0,300.0,42.0,7481625.11,59,7.681145747868608,0.0005189367952574454,6.757734360610653e-05,0.2576946844281186,0.033958139486478904,0.03339001200949317,50000,120266
127,0,4.0,137.0,3.0,119.0,173.33176995554317,23.0,16.0,300.0,42.0,2083051.3,42,6.48074069840786,0.0003548526094340101,5.476466048456595e-05,0.17563917567452508,0.02733720950377412,0.027002672232224797,50000,125610
128,0,4.0,124.0,10.0,5.0,4125.296124941927,3.0,39.0,300.0,42.0,1713208.75,72,8.48528137423857,0.0006048793601720546,7.130727259952646e-05,0.2992257178773179,0.03578771587603369,0.03462233006947749,50000,126395
129,0,4.0,239.0,15.0,16.0,1289.1550390443522,11.0,147.0,300.0,42.0,16664489.75,50,7.0710678118654755,0.0004526771325619715,6.403270217588035e-05,0.22532110764081673,0.03219506243173539,0.03154876601308358,50000,116564
130,0,4.0,133.0,17.0,41.0,503.0848932856009,6.0,145.0,300.0,42.0,32722818.38,26,5.0990195135927845,0.00023210969861448366,4.5525739583625376e-05,0.11465962059005283,0.022607885214880823,0.022167346731256043,50000,119113
131,0,4.0,231.0,17.0,119.0,173.33176995554317,31.0,46.0,300.0,42.0,34486897.5,41,6.4031242374328485,0.00038047159918708993,5.9430983612351845e-05,0.18892549093526273,0.02975599355210815,0.02963485618207558,50000,113996
132,0,4.0,160.0,7.0,297.0,69.44942971282705,34.0,116.0,300.0,42.0,73575822.29,32,5.656854249492381,0.00029876107516641924,5.282188434506495e-05,0.1473984420967236,0.026229628005926233,0.025815687901657943,50000,114039
133,0,4.0,235.0,14.0,151.0,136.59920943516315,11.0,131.0,300.0,42.0,88534092.81,46,6.782329983125268,0.0004260640022229426,6.283309111829342e-05,0.21228921670468473,0.0315986857060581,0.03101647238340178,50000,113822
134,0,4.0,175.0,2.0,331.0,62.31565143416808,24.0,95.0,300.0,42.0,19260691.82,50,7.0710678118654755,0.000448913629017777,6.35002225097722e-05,0.22189832540041704,0.03170589614819168,0.030949292661443483,50000,118362
135,0,4.0,157.0,12.0,111.0,185.8241497721589,12.0,4.0,300.0,42.0,3751848.67,49,7.0,0.0004189000880545083,5.9855402501412444e-05,0.207278725351302,0.029911283603800354,0.028987028261580852,50000,124176
136,0,4.0,102.0,15.0,241.0,85.58705653406487,26.0,122.0,300.0,42.0,133599157.86,22,4.69041575982343,0.00019692968715033792,4.198968426927636e-05,0.09712323315397972,0.020801285566918442,0.020763966079100433,50000,118986
137,0,4.0,144.0,18.0,140.0,147.33200446221173,38.0,4.0,300.0,42.0,5992126.47,37,6.082762530298219,0.0003203990266797135,5.268171307707918e-05,0.15855832576562226,0.02626656397018344,0.026488546853683334,50000,122577
138,0,4.0,194.0,6.0,169.0,122.05018121129966,27.0,80.0,300.0,42.0,25843964.47,38,6.164414002968976,0.0003475524987195434,5.6390256993607114e-05,0.1718085615478741,0.028090574745170085,0.027553724908839818,50000,116181
139,0,4.0,229.0,19.0,100.0,206.26480624709637,23.0,126.0,300.0,42.0,79162379.55,37,6.082762530298219,0.00035497054703839437,5.836715500969015e-05,0.1771882677148363,0.029353288307667768,0.028902918206381526,50000,109689
140,0,4.0,195.0,6.0,222.0,92.91207488607942,0.0,36.0,300.0,42.0,15908681.82,56,7.483314773547883,0.0004819443010086406,6.44180335535227e-05,0.23870850557469334,0.03226794527405737,0.03165716293000436,50000,123230
141,0,4.0,177.0,3.0,92.0,224.20087635553952,18.0,36.0,300.0,42.0,3591525.61,52,7.211102550927978,0.000444592641991775,6.166761035186339e-05,0.220493076215771,0.030905592537533222,0.030512967299902185,50000,123881
142,0,4.0,234.0,13.0,207.0,99.64483393579535,4.0,86.0,300.0,42.0,74411101.08,49,7.0,0.00043879680126086916,6.269900885981393e-05,0.21834027229268588,0.03150784136787186,0.031208286359035418,50000,117885
143,0,4.0,126.0,12.0,15.0,1375.0987083139757,15.0,9.0,300.0,42.0,1921883.77,46,6.782329983125268,0.0003868309296556364,5.7046139375134944e-05,0.19133093058643302,0.02847854305009506,0.028144776320280174,50000,126290
144,0,4.0,96.0,18.0,54.0,381.97186342054886,25.0,104.0,300.0,42.0,31796212.97,17,4.123105625617661,0.00015034801142644886,3.6467490022501676e-05,0.07420103584597053,0.018059906244094943,0.017783135569834393,50000,120347
145,0,4.0,106.0,13.0,44.0,468.78365056158265,30.0,79.0,300.0,42.0,14713090.43,29,5.385164807134504,0.000254707700955593,4.730405586831355e-05,0.1258680875415664,0.023513639925584043,0.023502213293748415,50000,121026
146,0,4.0,190.0,6.0,90.0,229.1831180523293,32.0,57.0,300.0,42.0,10682249.08,47,6.855654600401044,0.00041917502787068003,6.115577533523099e-05,0.20708676387442762,0.030500582616137053,0.029595869686401387,50000,119218
147,0,4.0,118.0,10.0,127.0,162.4132332654302,23.0,145.0,300.0,42.0,56274437.08,27,5.196152422706632,0.00024386278653877418,4.693713721517364e-05,0.12040493394427333,0.02330174317254533,0.023477571518715858,50000,117792
148,0,4.0,191.0,2.0,122.0,169.06951331729215,10.0,97.0,300.0,42.0,7568484.74,55,7.416198487095663,0.0004768221106747466,6.431000702303538e-05,0.23589302668442752,0.032169442564149976,0.03151430409256868,50000,122474
149,0,4.0,243.0,4.0,156.0,132.22102964557456,29.0,12.0,300.0,42.0,3779723.41,52,7.211102550927978,0.00044822949350067237,6.217217601879985e-05,0.22250653938323495,0.031187869758620798,0.030873835590256343,50000,122760
150,0,4.0,99.0,5.0,79.0,261.09469145202075,19.0,46.0,300.0,42.0,5790794.66,42,6.48074069840786,0.00035737381300840677,5.51538291623139e-05,0.1764511233642355,0.027463605269966544,0.027006764340700574,50000,125032
151,0,4.0,231.0,10.0,135.0,152.7887453682195,19.0,67.0,300.0,42.0,30784336.86,39,6.244997998398398,0.0003538377789874796,5.666941352559715e-05,0.17568113438825522,0.02835888408308048,0.027913603244593837,50000,116610
152,0,4.0,243.0,4.0,23.0,896.8035054221581,40.0,114.0,300.0,42.0,4679723.41,56,7.483314773547883,0.000483016784833273,6.456141936797628e-05,0.2399977901407338,0.03244226604813643,0.03171258882334358,50000,122568
153,0,4.0,186.0,13.0,305.0,67.62780532691684,15.0,52.0,300.0,42.0,65088665.48,34,5.830951894845301,0.00030722243808112477,5.2696306334112026e-05,0.15174727787236417,0.02620789123040793,0.02606918090685608,50000,117694
154,0,4.0,168.0,1.0,103.0,200.25709344378285,32.0,142.0,300.0,42.0,4567254.06,50,7.0710678118654755,0.0004353618292162616,6.158286137974236e-05,0.21528668402537898,0.030761003496430846,0.030177543268228767,50000,121997
155,0,4.0,219.0,19.0,264.0,78.13060842693044,20.0,22.0,300.0,42.0,39867790.22,37,6.082762530298219,0.000337172851206532,5.544021939076787e-05,0.1672153203308298,0.027700895119856097,0.027244323070667147,50000,116231
156,0,4.0,183.0,1.0,117.0,176.29470619409946,42.0,71.0,300.0,42.0,2704823.52,54,7.3484692283495345,0.0004612743130002477,6.278595900635246e-05,0.22862477600006204,0.031459129486162474,0.03109522863358116,50000,124070
