# [LF, 4, 104.0, 3.0, 200.0, 1.8, 40.0, 60.0, 300.0, 42.0, 11015808.57] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
404,"[182, 0]",1,0,0,0
405,"[182, 1]",2,158,64,0
406,"[183, 0]",1,0,0,0
407,"[183, 1]",2,158,64,1
408,"[184, 0]",1,158,64,0
409,"[185, 0]",1,158,64,0
410,"[186, 0]",1,0,0,0
411,"[186, 1]",5,57,26,0
412,"[186, 2]",3,0,0,0
413,"[186, 3]",2,0,0,0
414,"[186, 4]",43,0,0,0
415,"[186, 5]",37,156,64,0
416,"[186, 6]",99,158,64,0
417,"[187, 0]",1,2,1,1
418,"[188, 0]",1,41,18,0
419,"[189, 0]",1,2,1,0
420,"[190, 0]",1,158,64,0
421,"[191, 0]",1,0,0,0
422,"[191, 1]",2,59,28,0
423,"[192, 0]",1,0,0,0
424,"[192, 1]",3,57,26,0
425,"[192, 2]",2,2,1,0
426,"[193, 0]",1,158,64,0
427,"[194, 0]",1,41,18,0
428,"[195, 0]",1,158,64,0
429,"[196, 0]",1,0,0,0
430,"[196, 1]",3,0,0,0
431,"[196, 2]",2,0,0,0
432,"[196, 3]",27,0,0,0
433,"[196, 4]",24,0,0,0
434,"[196, 5]",23,0,0,0
435,"[196, 6]",20,158,64,9
436,"[196, 7]",63,0,0,0
437,"[196, 8]",61,0,0,0
438,"[196, 9]",56,57,26,0
439,"[196, 10]",29,158,64,0
440,"[196, 11]",134,0,0,0
441,"[196, 12]",118,158,64,0
442,"[196, 13]",272,59,28,2
443,"[197, 0]",1,0,0,0
444,"[197, 1]",2,57,26,0
445,"[198, 0]",1,0,0,0
446,"[198, 1]",2,0,0,0
447,"[198, 2]",70,158,64,0
448,"[199, 0]",1,57,26,0
449,"[200, 0]",1,158,64,0
450,"[201, 0]",1,158,64,0
451,"[202, 0]",1,0,0,0
452,"[202, 1]",2,158,64,0
453,"[203, 0]",1,0,0,0
454,"[203, 1]",2,158,64,-1
455,"[204, 0]",1,2,1,0
456,"[205, 0]",1,158,64,1
