# [LF, 3,  200.0,  10.0,  360, 0.0,  0.0,  3.5,  300.0,  42.0,  4702964.] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
244,"[123, 0]",1,0,0,0
245,"[123, 1]",2,0,0,0
246,"[123, 2]",14,156,64,0
247,"[124, 0]",1,0,0,1
248,"[124, 1]",2,0,0,0
249,"[124, 2]",55,0,0,0
250,"[124, 3]",54,0,0,0
251,"[124, 4]",49,0,0,0
252,"[124, 5]",47,0,0,0
253,"[124, 6]",46,41,18,0
254,"[124, 7]",45,0,0,0
255,"[124, 8]",44,0,0,0
256,"[124, 9]",129,0,0,0
257,"[124, 10]",125,0,0,-1
258,"[124, 11]",117,158,64,0
259,"[124, 12]",114,2,1,0
260,"[124, 13]",94,0,0,0
261,"[124, 14]",93,0,0,0
262,"[124, 15]",92,0,0,0
263,"[124, 16]",91,0,0,0
264,"[124, 17]",86,0,0,0
265,"[124, 18]",85,0,0,0
266,"[124, 19]",82,0,0,0
267,"[124, 20]",420,0,0,0
268,"[124, 21]",419,57,26,0
269,"[124, 22]",418,2,1,0
270,"[124, 23]",402,2,1,0
271,"[124, 24]",399,2,1,0
272,"[124, 25]",379,0,0,0
273,"[124, 26]",378,0,0,0
274,"[124, 27]",375,0,0,-1
275,"[124, 28]",371,0,0,-1
276,"[124, 29]",370,158,64,-1
277,"[124, 30]",366,158,64,0
278,"[124, 31]",365,2,1,0
279,"[124, 32]",360,0,0,0
280,"[124, 33]",254,158,64,-1
281,"[124, 34]",223,41,18,0
282,"[124, 35]",598,0,0,0
283,"[124, 36]",554,0,0,5
284,"[124, 37]",549,2,1,-1
285,"[124, 38]",542,41,18,0
286,"[124, 39]",540,0,0,0
287,"[124, 40]",536,0,0,0
288,"[124, 41]",535,0,0,0
289,"[124, 42]",534,0,0,0
290,"[124, 43]",531,2,1,0
291,"[124, 44]",529,0,0,0
292,"[124, 45]",455,41,18,0
293,"[124, 46]",991,2,1,0
294,"[124, 47]",990,41,18,0
295,"[124, 48]",966,41,18,0
296,"[124, 49]",964,0,0,0
297,"[124, 50]",963,0,0,0
298,"[124, 51]",962,0,0,0
299,"[124, 52]",953,41,18,0
300,"[124, 53]",948,41,18,0
301,"[124, 54]",937,0,0,0
302,"[124, 55]",895,158,64,0
303,"[124, 56]",800,2,1,0
304,"[124, 57]",1305,158,64,-1
305,"[124, 58]",1169,41,18,0
306,"[124, 59]",1166,0,0,0
307,"[124, 60]",1162,2,1,0
308,"[124, 61]",1772,2,1,10
309,"[125, 0]",1,156,64,0
310,"[126, 0]",1,158,64,0
311,"[127, 0]",1,41,18,0
312,"[128, 0]",1,0,0,0
313,"[128, 1]",6,0,0,0
314,"[128, 2]",5,0,0,0
315,"[128, 3]",3,0,0,0
316,"[128, 4]",2,0,0,0
317,"[128, 5]",35,0,0,0
318,"[128, 6]",34,2,1,0
319,"[128, 7]",30,0,0,0
320,"[128, 8]",26,158,64,0
321,"[128, 9]",22,57,26,0
322,"[128, 10]",77,0,0,0
323,"[128, 11]",55,158,64,0
324,"[128, 12]",158,156,64,0
325,"[129, 0]",1,0,0,0
326,"[129, 1]",2,156,64,0
327,"[130, 0]",1,41,18,0
328,"[131, 0]",1,0,0,0
329,"[131, 1]",2,41,18,0
330,"[132, 0]",1,0,0,0
331,"[132, 1]",2,41,18,0
332,"[133, 0]",1,0,0,0
333,"[133, 1]",2,0,0,0
334,"[133, 2]",19,0,0,0
335,"[133, 3]",57,41,18,0
336,"[134, 0]",1,2,1,0
337,"[135, 0]",1,54,24,0
338,"[136, 0]",1,0,0,0
339,"[136, 1]",2,2,1,2
340,"[137, 0]",1,158,64,0
341,"[138, 0]",1,2,1,0
342,"[139, 0]",1,41,18,0
343,"[140, 0]",1,158,64,0
344,"[141, 0]",1,0,0,0
345,"[141, 1]",2,158,64,0
346,"[142, 0]",1,0,0,0
347,"[142, 1]",2,41,18,45
348,"[143, 0]",1,0,0,0
349,"[143, 1]",2,41,18,0
350,"[144, 0]",1,57,26,0
351,"[145, 0]",1,158,64,0
352,"[146, 0]",1,2,1,0
353,"[147, 0]",1,57,26,0
354,"[148, 0]",1,0,0,0
355,"[148, 1]",2,158,64,-1
356,"[149, 0]",1,57,26,0
357,"[150, 0]",1,156,64,0
358,"[151, 0]",1,0,0,0
359,"[151, 1]",2,57,26,0
360,"[152, 0]",1,41,18,0
361,"[153, 0]",1,41,18,0
362,"[154, 0]",1,41,18,0
363,"[155, 0]",1,37,18,0
364,"[156, 0]",1,0,0,0
365,"[156, 1]",2,156,64,0
366,"[157, 0]",1,0,0,0
367,"[157, 1]",2,2,1,0
368,"[158, 0]",1,158,64,0
369,"[159, 0]",1,0,0,0
370,"[159, 1]",4,57,26,0
371,"[159, 2]",3,41,18,0
372,"[160, 0]",1,0,0,0
373,"[160, 1]",2,2,1,0
374,"[161, 0]",1,0,0,0
375,"[161, 1]",2,158,64,0
376,"[162, 0]",1,0,0,1
377,"[162, 1]",2,156,64,0
378,"[163, 0]",1,0,0,0
379,"[163, 1]",2,0,0,0
380,"[163, 2]",22,2,1,0
381,"[164, 0]",1,0,0,0
382,"[164, 1]",2,156,64,0
383,"[165, 0]",1,2,1,0
384,"[166, 0]",1,41,18,0
385,"[167, 0]",1,41,18,0
386,"[168, 0]",1,0,0,0
387,"[168, 1]",2,0,0,0
388,"[168, 2]",53,57,26,0
389,"[169, 0]",1,0,0,0
390,"[169, 1]",2,0,0,-1
391,"[169, 2]",18,0,0,3
392,"[169, 3]",33,158,64,1
393,"[170, 0]",1,156,64,0
394,"[171, 0]",1,41,18,0
395,"[172, 0]",1,2,1,0
396,"[173, 0]",1,0,0,0
397,"[173, 1]",2,0,0,0
398,"[173, 2]",32,0,0,0
399,"[173, 3]",48,0,0,0
400,"[173, 4]",46,0,0,0
401,"[173, 5]",45,0,0,0
402,"[173, 6]",44,0,0,0
403,"[173, 7]",89,0,0,0
404,"[173, 8]",88,0,0,0
405,"[173, 9]",84,41,18,0
406,"[173, 10]",83,0,0,0
407,"[173, 11]",79,2,1,0
408,"[173, 12]",67,51,24,14
409,"[173, 13]",159,158,64,0
410,"[173, 14]",120,0,0,0
411,"[173, 15]",116,41,18,0
412,"[173, 16]",342,0,0,0
413,"[173, 17]",444,0,0,0
414,"[173, 18]",531,41,18,3
415,"[174, 0]",1,41,18,0
416,"[175, 0]",1,158,64,0
417,"[176, 0]",1,0,0,0
418,"[176, 1]",2,158,64,0
419,"[177, 0]",1,37,18,0
420,"[178, 0]",1,158,64,1
421,"[179, 0]",1,0,0,0
422,"[179, 1]",2,2,1,0
423,"[180, 0]",1,2,1,0
424,"[181, 0]",1,57,26,0
425,"[182, 0]",1,0,0,0
426,"[182, 1]",2,158,64,0
427,"[183, 0]",1,0,0,0
428,"[183, 1]",2,41,18,1
429,"[184, 0]",1,158,64,0
430,"[185, 0]",1,158,64,0
431,"[186, 0]",1,0,0,0
432,"[186, 1]",5,158,64,0
433,"[186, 2]",3,0,0,0
434,"[186, 3]",2,0,0,0
435,"[186, 4]",60,2,1,0
436,"[186, 5]",52,156,64,0
437,"[187, 0]",1,2,1,1
438,"[188, 0]",1,2,1,0
439,"[189, 0]",1,2,1,0
440,"[190, 0]",1,158,64,0
441,"[191, 0]",1,0,0,0
442,"[191, 1]",2,59,28,0
443,"[192, 0]",1,0,0,0
444,"[192, 1]",3,156,64,0
445,"[192, 2]",2,41,18,0
446,"[193, 0]",1,2,1,0
447,"[194, 0]",1,2,1,0
448,"[195, 0]",1,156,64,0
449,"[196, 0]",1,0,0,0
450,"[196, 1]",3,0,0,0
451,"[196, 2]",2,0,0,0
452,"[196, 3]",27,0,0,0
453,"[196, 4]",24,0,0,0
454,"[196, 5]",23,0,0,0
455,"[196, 6]",20,158,64,9
456,"[196, 7]",63,0,0,0
457,"[196, 8]",61,0,0,0
458,"[196, 9]",56,57,26,0
459,"[196, 10]",29,158,64,0
460,"[196, 11]",134,0,0,0
461,"[196, 12]",118,158,64,0
462,"[196, 13]",272,59,28,2
