# LF noise: mean = 0.002058237853827891 +- 0.00025716106577061736
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Theta_deg,Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
10,LF,4.0,200.0,1.0,203,1.7733990147783252,29.0,30.0,300.0,42.0,2080846.97,61,7.810249675906654,0.0005187780650428629,6.643995191807341e-05,0.018821033531311204,0.0024401435898126268,0.002403036736284447,50000,124724
11,LF,4.0,128.0,3.0,57,6.315789473684211,32.0,121.0,300.0,42.0,6530777.23,36,6.0,0.0003131088227108266,5.2192972906970066e-05,0.011346108804808774,0.001905118873773331,0.0019251332396256194,50000,122101
12,LF,4.0,120.0,14.0,94,3.8297872340425534,5.0,26.0,300.0,42.0,11844292.26,33,5.744562646538029,0.0002847331274051321,4.9572731384270597e-05,0.010317117115079006,0.0018082574777670928,0.0018032700750712774,50000,123089
13,LF,4.0,251.0,4.0,300,1.2,1.0,33.0,300.0,42.0,13514256.5,53,7.280109889280518,0.0004561297818322647,6.266853167054607e-05,0.016609046592925038,0.0023064269118802236,0.0022788123814248447,50000,122799
14,LF,4.0,255.0,5.0,291,1.2371134020618557,25.0,14.0,300.0,42.0,8234716.63,53,7.280109889280518,0.0004603411736094222,6.324727585419748e-05,0.016786067228771084,0.0023310142524687262,0.002318922849602311,50000,121504
15,LF,4.0,122.0,8.0,114,3.1578947368421053,28.0,90.0,300.0,42.0,25473486.65,32,5.656854249492381,0.0002830030157508866,5.0035416467891055e-05,0.010230635171961214,0.0018205334967924028,0.0018126484474919522,50000,120368
16,LF,4.0,238.0,8.0,343,1.0495626822157433,17.0,48.0,300.0,42.0,42555465.94,42,6.48074069840786,0.00037485608203993107,5.7852389324909226e-05,0.013637307720109591,0.0021225879840434773,0.00210938146975918,50000,118518
17,LF,4.0,212.0,12.0,35,10.285714285714286,37.0,127.0,300.0,42.0,19785181.27,48,6.928203230275509,0.00045076771376250177,6.5077377654237e-05,0.016374965795254968,0.0023870304706119345,0.0023678958119493134,50000,112804
18,LF,4.0,113.0,8.0,294,1.2244897959183674,25.0,61.0,300.0,42.0,43777536.93,43,6.557438524302,0.00037206565660935704,5.675003512721703e-05,0.0134743863995642,0.002073110959665347,0.0020629552487581343,50000,122807
19,LF,4.0,249.0,8.0,233,1.5450643776824033,33.0,148.0,300.0,42.0,86081584.85,45,6.708203932499369,0.0004220794447310416,6.293316588324505e-05,0.015428258679560818,0.0023213632350852498,0.0022990788583922995,50000,112243
