,radius[cm],mode,Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],nprimaries,total_neutrons
19,168,LF,39,6.244997998398398,0.00031729243786356425,5.081551206233207e-05,0.012210217091274069,0.0019709868650115443,50000,122915
20,172,LF,49,7.0,0.00039959877021439696,5.7096943118374037e-05,0.015377573340786585,0.0022190607499987117,50000,122623
21,176,LF,36,6.0,0.0002944977994469986,4.909019345528707e-05,0.01133302163884717,0.0019029210961509979,50000,122242
22,180,LF,36,6.0,0.00029470271863257937,4.9124356713313394e-05,0.011340907448414385,0.0019042453900965256,50000,122157
23,184,LF,36,6.0,0.00029565874410735697,4.92837413206209e-05,0.011377697731442945,0.0019104237255625062,50000,121762
24,188,LF,43,6.557438524302,0.0003539881290492537,5.3992237363902724e-05,0.013622360282295494,0.0020958815416470536,50000,121473
25,192,LF,42,6.48074069840786,0.00034430462761814975,5.3136502659325676e-05,0.013249714607303753,0.0020622505847123196,50000,121985
26,196,LF,45,6.708203932499369,0.0003705106460058952,5.524269721784179e-05,0.014258188606138495,0.0021452803967196184,50000,121454
27,200,LF,39,6.244997998398398,0.00032110393887498356,5.14260354749921e-05,0.0123568933092968,0.0019946672444368474,50000,121456
28,204,LF,41,6.4031242374328485,0.0003381220208151215,5.281471461343427e-05,0.013011792229565194,0.0020493513282753154,50000,121258
29,208,LF,36,6.0,0.00035368669253819327,5.895820569114796e-05,0.013610760241449683,0.0022854415009844102,50000,101785
30,212,LF,38,6.164414002968976,0.0003141404538502873,5.096831457732338e-05,0.012088920758687388,0.001976517159324756,50000,120965
31,216,LF,37,6.082762530298219,0.00030569669930185486,5.026390878232349e-05,0.011763983685506574,0.001948809775028677,50000,121035
32,220,LF,41,6.4031242374328485,0.00033935902529466297,5.300796768864968e-05,0.013059395296753876,0.0020568500404354473,50000,120816
33,224,LF,42,6.48074069840786,0.00034818075555223955,5.373480924514425e-05,0.01339887783308835,0.002085471053360059,50000,120627
34,228,LF,41,6.4031242374328485,0.0003405061083473827,5.318717285340393e-05,0.013103537959559639,0.00206380365770805,50000,120409
35,232,LF,48,6.928203230275509,0.00039717673537272556,5.7338907219996025e-05,0.015284367302159988,0.002228019531517946,50000,120853
36,236,LF,46,6.782329983125268,0.00038177125262467735,5.629984404553505e-05,0.014691525285451005,0.002186770494947524,50000,120491
37,240,LF,49,7.0,0.00040634562597958323,5.806116799690766e-05,0.015637209448508323,0.002256534999248962,50000,120587
38,244,LF,44,6.6332495807108,0.00036647732005130684,5.52586575030871e-05,0.014102976002153994,0.0021454709105610537,50000,120062
39,248,LF,45,6.708203932499369,0.0003761755485893417,5.608748626968242e-05,0.01447618841354186,0.0021780866018710297,50000,119625
40,252,LF,46,6.782329983125268,0.0003845350052246604,5.670749324502922e-05,0.014797881489398345,0.0022026041460936276,50000,119625
41,256,LF,44,6.6332495807108,0.0003674321503131524,5.5402656395561436e-05,0.014139720290360022,0.0021510617889826298,50000,119750
42,260,LF,45,6.708203932499369,0.00037743445221679836,5.6275223245823804e-05,0.014524634215439123,0.0021853771051710286,50000,119226
43,264,LF,53,7.280109889280518,0.0004427883972730918,6.083512803265117e-05,0.017039619641129208,0.002366231692533847,50000,119696
44,0,HF,780,27.92848008753788,0.0005217447143247018,1.8686330359315096e-05,0.0200780588123211,0.0008251805218393436,10100000,1494984
45,95,HF,456,21.354156504062622,0.0003591337316357439,1.6820997556004836e-05,0.01281656377907499,0.0006535237241224481,9250000,1269722
46,200,HF,370,19.235384061671343,0.0003112463397009848,1.6183444639136617e-05,0.010455923325201219,0.0005830766734074058,9200000,1188769
