# LF noise: mean = 0.0022628192034284005 +- 0.00024368952720959624
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
81,LF,4.0,117.0,3.3,11,-29.0,61.1,300.0,42.0,965450.72,77,8.774964387392123,0.0006444862942038083,7.346969327541154e-05,0.023375367875331895,0.0027061485696036375,0.0026805728707408223,50000,126764
82,LF,4.0,231.0,3.2,13,13.0,39.7,300.0,42.0,1598273.45,54,7.3484692283495345,0.0004551622990753462,6.195383820806705e-05,0.01651794705152325,0.0022728888707617113,0.0022797688147825146,50000,125806
83,LF,4.0,158.0,5.6,5,-6.0,111.4,300.0,42.0,1877507.54,57,7.54983443527075,0.000479931294046326,6.358370522834696e-05,0.017390133185570464,0.0023304986450816026,0.002314320402923823,50000,126135
84,LF,4.0,133.0,14.4,6,29.0,1.0,300.0,42.0,1991710.93,61,7.810249675906654,0.0005090375018775974,6.519215980431153e-05,0.018444813984342164,0.002391355393231342,0.0024092314952147953,50000,127268
85,LF,4.0,97.0,10.1,10,-8.0,102.4,300.0,42.0,3830634.19,48,6.928203230275509,0.0004065247217846435,5.868871495950444e-05,0.014714784727023134,0.002144975271029631,0.0021344155084561537,50000,125531
86,LF,4.0,204.0,12.4,20,12.0,80.5,300.0,42.0,9637714.41,43,6.557438524302,0.000380857904572952,5.809134506236058e-05,0.01381236515727017,0.002125120081335569,0.0020996924047776075,50000,119802
87,LF,4.0,250.0,6.1,8,-36.0,78.4,300.0,42.0,3661565.22,56,7.483314773547883,0.00047711956105000384,6.377299144241802e-05,0.017335729864312876,0.0023433907437401488,0.0022878230544644746,50000,124311
88,LF,4.0,110.0,12.9,360,-40.0,62.2,300.0,42.0,87881299.11,37,6.082762530298219,0.00032729460052367137,5.381570551029861e-05,0.011841961487843177,0.001961729457216936,0.001951701079327663,50000,120238
89,LF,4.0,168.0,10.9,51,35.0,97.3,300.0,42.0,18418652.85,34,5.830951894845301,0.00031232489137524,5.3571640894958915e-05,0.011294455201150605,0.0019506414247928983,0.001953368671611931,50000,115845
90,LF,4.0,198.0,5.7,10,34.0,8.4,300.0,42.0,1629701.5,71,8.426149773176359,0.0005959525588188388,7.07476282932137e-05,0.021612560735267995,0.002602499850451967,0.0025358121852473137,50000,126420
91,LF,4.0,99.0,5.8,5,37.0,98.9,300.0,42.0,1260679.16,80,8.94427190999916,0.0006671280969337125,7.461206417873916e-05,0.02418250949238116,0.002748251531808093,0.002701292988511932,50000,127307
92,LF,4.0,149.0,5.1,4,42.0,59.8,300.0,42.0,1126924.6,65,8.06225774829855,0.0005442062960482251,6.751884808797681e-05,0.019725139955970597,0.0024794207763671992,0.0024697321050334725,50000,126811
93,LF,4.0,148.0,13.5,7,-17.0,65.2,300.0,42.0,4060794.73,52,7.211102550927978,0.00044253436023998976,6.13820514426556e-05,0.016048019779341987,0.00224938081737191,0.0022466182797239126,50000,124694
94,LF,4.0,211.0,2.3,51,-1.0,107.1,300.0,42.0,4426339.4,52,7.211102550927978,0.00044568627114867067,6.181933692701856e-05,0.016175405606289363,0.0022672396053154283,0.0022691934639308175,50000,123712
95,LF,4.0,236.0,2.1,12,-25.0,107.8,300.0,42.0,1562996.17,52,7.211102550927978,0.0004410779265944543,6.117999121816131e-05,0.01601885814526997,0.0022452925258021547,0.0021730064987559535,50000,124921
96,LF,4.0,108.0,8.4,6,17.0,26.2,300.0,42.0,1111241.26,61,7.810249675906654,0.0005083714611929228,6.510683866022583e-05,0.018413851258681686,0.0023873401639142398,0.0023526272083840925,50000,127482
97,LF,4.0,218.0,2.5,4,-34.0,16.9,300.0,42.0,814425.1,49,7.0,0.0004096784442252061,5.853747912084669e-05,0.014842449669148274,0.0021418251330221722,0.002131363495669673,50000,127044
98,LF,4.0,166.0,8.8,4,-35.0,77.0,300.0,42.0,2502570.21,53,7.280109889280518,0.00044855193892923037,6.162716413557344e-05,0.016259102314731922,0.0022578216095041586,0.0022161490905889276,50000,125442
99,LF,4.0,238.0,11.2,5,-22.0,99.5,300.0,42.0,6041726.08,52,7.211102550927978,0.0004499710114829141,6.24137895521567e-05,0.016349991244170484,0.002291715639503035,0.002302237286811851,50000,122391
100,LF,4.0,155.0,9.3,4,28.0,12.2,300.0,42.0,1713537.86,57,7.54983443527075,0.00047661253909058983,6.314391519494865e-05,0.01729524824652424,0.0023177800671971916,0.002273919187303141,50000,126827
101,LF,4.0,145.0,8.8,72,28.0,4.4,300.0,42.0,2144254.02,50,7.0710678118654755,0.0004221261650682156,5.971025340882287e-05,0.015307536396494816,0.0021871877468754722,0.002164666966404083,50000,125698
102,LF,4.0,210.0,2.0,10,-42.0,30.4,300.0,42.0,747182.96,77,8.774964387392123,0.000642191122750246,7.320796598299916e-05,0.023294695355837305,0.002696806434263079,0.0026249837188828604,50000,127203
103,LF,4.0,129.0,3.6,11,-8.0,33.6,300.0,42.0,796880.66,63,7.937253933193772,0.0005252144625722169,6.618817717116459e-05,0.019042978309648132,0.0024303858599922868,0.002426249758834501,50000,127312
104,LF,4.0,168.0,11.3,16,-43.0,13.6,300.0,42.0,3020206.6,49,7.0,0.00041488857278330964,5.928209001744239e-05,0.015043993041177525,0.002170914222908582,0.0021442702685015758,50000,125342
105,LF,4.0,215.0,1.6,5,0.0,58.4,300.0,42.0,611806.65,70,8.366600265340756,0.0005831972539740727,6.972572732103643e-05,0.021151222490563983,0.0025645524862805188,0.002533969623725082,50000,127358
106,LF,4.0,188.0,9.6,90,5.0,68.3,300.0,42.0,20058544.76,45,6.708203932499369,0.00039546185550702606,5.8963628237517534e-05,0.014344881038518432,0.002158326486043857,0.002103644482030158,50000,120720
