# [LF, 4, 225.5, 13.5, 11, 32.72727272727273, 9.7, 120.9, 300.0, 42.0, 10231269.68] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
318,"[134, 0]",1,2,1,0
319,"[135, 0]",1,0,0,0
320,"[135, 1]",3,0,0,0
321,"[135, 2]",2,0,0,0
322,"[135, 3]",33,41,18,0
323,"[135, 4]",29,41,18,0
324,"[136, 0]",1,0,0,0
325,"[136, 1]",3,158,64,-1
326,"[136, 2]",2,0,0,-1
327,"[136, 3]",44,2,1,-1
328,"[137, 0]",1,158,64,0
329,"[138, 0]",1,41,18,0
330,"[139, 0]",1,0,0,0
331,"[139, 1]",2,156,64,0
332,"[140, 0]",1,41,18,0
333,"[141, 0]",1,0,0,0
334,"[141, 1]",3,0,0,0
335,"[141, 2]",2,156,64,0
336,"[141, 3]",33,55,26,0
337,"[142, 0]",1,41,18,0
338,"[143, 0]",1,158,64,0
339,"[144, 0]",1,41,18,0
340,"[145, 0]",1,0,0,0
341,"[145, 1]",4,41,18,0
342,"[145, 2]",3,2,1,0
343,"[145, 3]",2,2,1,0
344,"[146, 0]",1,158,64,0
345,"[147, 0]",1,41,18,4
346,"[148, 0]",1,2,1,0
347,"[149, 0]",1,0,0,0
348,"[149, 1]",4,0,0,-1
349,"[149, 2]",2,41,18,12
350,"[149, 3]",65,41,18,3
351,"[150, 0]",1,2,1,0
352,"[151, 0]",1,158,64,0
353,"[152, 0]",1,0,0,0
354,"[152, 1]",2,158,64,3
355,"[153, 0]",1,0,0,0
356,"[153, 1]",2,41,18,0
357,"[154, 0]",1,57,26,0
358,"[155, 0]",1,2,1,0
359,"[156, 0]",1,158,64,0
360,"[157, 0]",1,41,18,0
361,"[158, 0]",1,41,18,0
362,"[159, 0]",1,0,0,0
363,"[159, 1]",2,0,0,0
364,"[159, 2]",40,0,0,0
365,"[159, 3]",52,2,1,0
366,"[160, 0]",1,2,1,0
367,"[161, 0]",1,0,0,0
368,"[161, 1]",2,0,0,0
369,"[161, 2]",20,41,18,0
370,"[162, 0]",1,41,18,0
371,"[163, 0]",1,0,0,0
372,"[163, 1]",2,2,1,0
373,"[164, 0]",1,0,0,0
374,"[164, 1]",2,2,1,1
375,"[165, 0]",1,0,0,0
376,"[165, 1]",2,0,0,0
377,"[165, 2]",16,2,1,0
378,"[166, 0]",1,2,1,0
379,"[167, 0]",1,158,64,0
380,"[168, 0]",1,0,0,0
381,"[168, 1]",2,156,64,0
382,"[169, 0]",1,158,64,0
383,"[170, 0]",1,0,0,0
384,"[170, 1]",6,2,1,0
385,"[170, 2]",5,0,0,0
386,"[170, 3]",4,0,0,0
387,"[170, 4]",3,0,0,0
388,"[170, 5]",2,0,0,0
389,"[170, 6]",25,0,0,0
390,"[170, 7]",21,0,0,0
391,"[170, 8]",18,57,26,0
392,"[170, 9]",15,2,1,0
393,"[170, 10]",74,57,26,0
394,"[170, 11]",54,0,0,0
395,"[170, 12]",211,158,64,0
396,"[171, 0]",1,41,18,0
397,"[172, 0]",1,57,26,0
398,"[173, 0]",1,156,64,0
399,"[174, 0]",1,156,64,0
400,"[175, 0]",1,0,0,0
401,"[175, 1]",2,41,18,0
402,"[176, 0]",1,41,18,0
403,"[177, 0]",1,41,18,0
404,"[178, 0]",1,158,64,0
405,"[179, 0]",1,2,1,0
406,"[180, 0]",1,41,18,0
407,"[181, 0]",1,2,1,0
408,"[182, 0]",1,2,1,0
409,"[183, 0]",1,0,0,0
410,"[183, 1]",2,158,64,-1
411,"[184, 0]",1,0,0,0
412,"[184, 1]",2,2,1,3
413,"[185, 0]",1,41,18,0
414,"[186, 0]",1,41,18,0
415,"[187, 0]",1,0,0,0
416,"[187, 1]",5,2,1,0
417,"[187, 2]",3,0,0,0
418,"[187, 3]",2,0,0,0
419,"[187, 4]",47,0,0,0
420,"[187, 5]",43,0,0,0
421,"[187, 6]",111,2,1,0
422,"[187, 7]",95,2,1,0
423,"[188, 0]",1,41,18,0
424,"[189, 0]",1,0,0,0
425,"[189, 1]",6,41,18,0
426,"[189, 2]",5,41,18,0
427,"[189, 3]",4,0,0,0
428,"[189, 4]",26,0,0,0
429,"[189, 5]",52,2,1,0
430,"[190, 0]",1,2,1,0
431,"[191, 0]",1,2,1,0
432,"[192, 0]",1,41,18,0
433,"[193, 0]",1,41,18,0
434,"[194, 0]",1,2,1,0
435,"[195, 0]",1,2,1,0
436,"[196, 0]",1,57,26,0
437,"[197, 0]",1,2,1,0
438,"[198, 0]",1,41,18,1
439,"[199, 0]",1,0,0,0
440,"[199, 1]",2,158,64,0
441,"[200, 0]",1,0,0,0
442,"[200, 1]",2,2,1,0
443,"[201, 0]",1,2,1,0
444,"[202, 0]",1,0,0,0
445,"[202, 1]",2,158,64,0
446,"[203, 0]",1,0,0,0
447,"[203, 1]",2,57,26,0
