# [LF, 4, 141.8, 4.4, 289, 1.245674740484429, 33.2, 62.2, 300.0, 42.0, 24318974.1] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
332,"[148, 1]",2,158,64,-1
333,"[149, 0]",1,41,18,0
334,"[150, 0]",1,156,64,0
335,"[151, 0]",1,0,0,0
336,"[151, 1]",2,57,26,0
337,"[152, 0]",1,41,18,0
338,"[153, 0]",1,41,18,0
339,"[154, 0]",1,41,18,0
340,"[155, 0]",1,41,18,0
341,"[156, 0]",1,0,0,0
342,"[156, 1]",2,156,64,0
343,"[157, 0]",1,2,1,0
344,"[158, 0]",1,41,18,0
345,"[159, 0]",1,0,0,0
346,"[159, 1]",4,41,18,0
347,"[159, 2]",3,158,64,0
348,"[160, 0]",1,0,0,0
349,"[160, 1]",2,37,18,0
350,"[161, 0]",1,0,0,0
351,"[161, 1]",2,158,64,0
352,"[162, 0]",1,0,0,1
353,"[162, 1]",2,156,64,0
354,"[163, 0]",1,0,0,0
355,"[163, 1]",2,0,0,0
356,"[163, 2]",22,2,1,0
357,"[164, 0]",1,0,0,0
358,"[164, 1]",2,156,64,0
359,"[165, 0]",1,2,1,0
360,"[166, 0]",1,41,18,0
361,"[167, 0]",1,158,64,0
362,"[168, 0]",1,0,0,0
363,"[168, 1]",2,0,0,0
364,"[168, 2]",53,57,26,0
365,"[169, 0]",1,0,0,0
366,"[169, 1]",2,0,0,-1
367,"[169, 2]",18,0,0,3
368,"[169, 3]",33,158,64,1
369,"[170, 0]",1,156,64,0
370,"[171, 0]",1,158,64,0
371,"[172, 0]",1,2,1,0
372,"[173, 0]",1,0,0,0
373,"[173, 1]",2,0,0,0
374,"[173, 2]",39,2,1,0
375,"[173, 3]",38,158,64,0
376,"[173, 4]",36,57,26,0
377,"[174, 0]",1,2,1,0
378,"[175, 0]",1,158,64,0
379,"[176, 0]",1,0,0,0
380,"[176, 1]",2,158,64,0
381,"[177, 0]",1,2,1,0
382,"[178, 0]",1,158,64,1
383,"[179, 0]",1,0,0,0
384,"[179, 1]",2,2,1,0
385,"[180, 0]",1,41,18,0
386,"[181, 0]",1,2,1,0
387,"[182, 0]",1,0,0,0
388,"[182, 1]",2,158,64,0
389,"[183, 0]",1,0,0,0
390,"[183, 1]",2,158,64,1
391,"[184, 0]",1,158,64,0
392,"[185, 0]",1,158,64,0
393,"[186, 0]",1,0,0,0
394,"[186, 1]",5,57,26,0
395,"[186, 2]",3,0,0,0
396,"[186, 3]",2,0,0,0
397,"[186, 4]",43,0,0,0
398,"[186, 5]",37,156,64,0
399,"[186, 6]",99,41,18,0
400,"[187, 0]",1,2,1,1
401,"[188, 0]",1,41,18,0
402,"[189, 0]",1,2,1,0
403,"[190, 0]",1,158,64,0
404,"[191, 0]",1,0,0,0
405,"[191, 1]",2,59,28,0
406,"[192, 0]",1,0,0,0
407,"[192, 1]",3,13,6,0
408,"[192, 2]",2,0,0,0
409,"[192, 3]",11,41,18,0
410,"[193, 0]",1,41,18,0
411,"[194, 0]",1,2,1,0
412,"[195, 0]",1,158,64,0
413,"[196, 0]",1,0,0,0
414,"[196, 1]",3,0,0,0
415,"[196, 2]",2,0,0,0
416,"[196, 3]",27,0,0,0
417,"[196, 4]",24,0,0,0
418,"[196, 5]",23,0,0,0
419,"[196, 6]",20,158,64,9
420,"[196, 7]",63,0,0,0
421,"[196, 8]",61,0,0,0
422,"[196, 9]",56,57,26,0
423,"[196, 10]",29,158,64,0
424,"[196, 11]",134,0,0,0
425,"[196, 12]",118,158,64,0
426,"[196, 13]",272,59,28,2
427,"[197, 0]",1,0,0,0
428,"[197, 1]",2,57,26,0
429,"[198, 0]",1,0,0,0
430,"[198, 1]",2,0,0,0
431,"[198, 2]",73,41,18,0
432,"[199, 0]",1,57,26,0
433,"[200, 0]",1,158,64,0
434,"[201, 0]",1,158,64,0
435,"[202, 0]",1,0,0,0
436,"[202, 1]",2,41,18,0
437,"[203, 0]",1,2,1,0
438,"[204, 0]",1,2,1,0
439,"[205, 0]",1,158,64,1
440,"[206, 0]",1,41,18,0
441,"[207, 0]",1,2,1,0
442,"[208, 0]",1,0,0,0
443,"[208, 1]",2,0,0,0
444,"[208, 2]",45,0,0,0
445,"[208, 3]",84,41,18,0
446,"[208, 4]",82,0,0,0
447,"[208, 5]",81,0,0,0
448,"[208, 6]",80,0,0,0
449,"[208, 7]",149,0,0,0
450,"[208, 8]",146,41,18,0
451,"[208, 9]",142,2,1,0
452,"[208, 10]",200,156,64,4
453,"[209, 0]",1,0,0,0
454,"[209, 1]",6,2,1,0
455,"[209, 2]",4,0,0,0
456,"[209, 3]",39,0,0,0
457,"[209, 4]",32,0,0,0
458,"[209, 5]",31,0,0,0
459,"[209, 6]",112,0,0,0
460,"[209, 7]",108,41,18,0
461,"[209, 8]",55,41,18,14
462,"[209, 9]",167,57,26,0
463,"[210, 0]",1,2,1,0
464,"[211, 0]",1,0,0,0
465,"[211, 1]",6,41,18,0
466,"[211, 2]",3,0,0,0
467,"[211, 3]",2,0,0,0
468,"[211, 4]",53,158,64,0
469,"[211, 5]",51,41,18,0
470,"[211, 6]",50,0,0,0
471,"[211, 7]",48,0,0,0
472,"[211, 8]",39,0,0,0
473,"[211, 9]",170,2,1,0
474,"[211, 10]",84,41,18,0
475,"[211, 11]",79,2,1,0
476,"[212, 0]",1,0,0,0
477,"[212, 1]",5,2,1,0
478,"[212, 2]",3,0,0,0
479,"[212, 3]",2,0,0,0
480,"[212, 4]",34,0,0,0
481,"[212, 5]",31,2,1,0
482,"[212, 6]",59,158,64,0
483,"[213, 0]",1,158,64,0
484,"[214, 0]",1,158,64,0
485,"[215, 0]",1,158,64,0
486,"[216, 0]",1,41,18,0
487,"[217, 0]",1,0,0,0
488,"[217, 1]",2,0,0,0
489,"[217, 2]",30,2,1,0
490,"[218, 0]",1,0,0,0
491,"[218, 1]",6,156,64,0
492,"[218, 2]",3,0,0,0
493,"[218, 3]",2,0,0,0
494,"[218, 4]",62,2,1,10
495,"[218, 5]",61,0,0,4
496,"[218, 6]",60,158,64,1
497,"[218, 7]",59,0,0,-1
498,"[218, 8]",54,0,0,0
499,"[218, 9]",52,0,0,0
500,"[218, 10]",135,158,64,0
501,"[218, 11]",121,41,18,0
502,"[218, 12]",87,2,1,3
503,"[218, 13]",79,158,64,9
504,"[219, 0]",1,57,26,0
505,"[220, 0]",1,2,1,0
506,"[221, 0]",1,0,0,0
507,"[221, 1]",7,57,26,0
508,"[221, 2]",5,158,64,0
509,"[221, 3]",4,0,0,0
510,"[221, 4]",3,0,0,0
511,"[221, 5]",2,0,0,0
512,"[221, 6]",31,57,26,0
513,"[221, 7]",30,2,1,0
514,"[221, 8]",27,0,0,0
515,"[221, 9]",24,158,64,1
516,"[221, 10]",81,158,64,0
517,"[222, 0]",1,41,18,0
518,"[223, 0]",1,0,0,0
519,"[223, 1]",2,2,1,0
520,"[224, 0]",1,0,0,0
521,"[224, 1]",7,158,64,0
522,"[224, 2]",4,0,0,0
523,"[224, 3]",3,0,0,0
524,"[224, 4]",2,0,0,0
525,"[224, 5]",49,158,64,0
526,"[224, 6]",48,0,0,0
527,"[224, 7]",44,0,0,0
528,"[224, 8]",38,41,18,0
529,"[224, 9]",109,41,18,0
530,"[224, 10]",80,2,1,0
531,"[225, 0]",1,57,26,0
532,"[226, 0]",1,2,1,0
533,"[227, 0]",1,41,18,0
534,"[228, 0]",1,0,0,0
535,"[228, 1]",7,0,0,0
536,"[228, 2]",3,0,0,0
537,"[228, 3]",2,0,0,0
538,"[228, 4]",62,0,0,0
539,"[228, 5]",60,0,0,0
540,"[228, 6]",59,0,0,0
541,"[228, 7]",57,0,0,0
542,"[228, 8]",55,57,26,0
543,"[228, 9]",54,0,0,0
544,"[228, 10]",35,158,64,1
545,"[228, 11]",117,158,64,5
546,"[228, 12]",96,158,64,5
547,"[228, 13]",93,158,64,0
548,"[228, 14]",92,59,28,0
549,"[228, 15]",90,0,0,0
550,"[228, 16]",86,0,0,0
551,"[228, 17]",82,156,64,-1
552,"[228, 18]",341,2,1,2
553,"[228, 19]",306,158,64,0
554,"[229, 0]",1,59,28,0
555,"[230, 0]",1,53,24,0
556,"[231, 0]",1,2,1,0
557,"[232, 0]",1,0,0,0
558,"[232, 1]",6,0,0,0
559,"[232, 2]",5,158,64,0
560,"[232, 3]",3,0,0,0
561,"[232, 4]",2,57,26,0
562,"[232, 5]",40,0,0,0
563,"[232, 6]",39,57,26,0
564,"[232, 7]",23,158,64,14
565,"[232, 8]",96,158,64,0
566,"[233, 0]",1,156,64,0
567,"[234, 0]",1,158,64,0
568,"[235, 0]",1,158,64,0
569,"[236, 0]",1,0,0,0
570,"[236, 1]",2,158,64,0
571,"[237, 0]",1,2,1,0
572,"[238, 0]",1,2,1,0
573,"[239, 0]",1,156,64,1
574,"[240, 0]",1,64,29,0
575,"[241, 0]",1,0,0,0
576,"[241, 1]",2,158,64,1
577,"[242, 0]",1,0,0,0
578,"[242, 1]",4,0,0,-1
579,"[242, 2]",2,0,0,-1
580,"[242, 3]",52,0,0,-1
581,"[242, 4]",47,2,1,3
582,"[242, 5]",72,0,0,3
583,"[242, 6]",172,158,64,0
584,"[243, 0]",1,2,1,0
585,"[244, 0]",1,41,18,0
586,"[245, 0]",1,0,0,0
587,"[245, 1]",2,158,64,0
588,"[246, 0]",1,158,64,0
589,"[247, 0]",1,156,64,0
590,"[248, 0]",1,0,0,0
591,"[248, 1]",2,57,26,0
592,"[249, 0]",1,2,1,0
593,"[250, 0]",1,2,1,0
594,"[251, 0]",1,0,0,0
595,"[251, 1]",2,0,0,0
596,"[251, 2]",15,158,64,0
597,"[252, 0]",1,0,0,0
598,"[252, 1]",5,0,0,0
599,"[252, 2]",3,0,0,0
600,"[252, 3]",2,0,0,0
601,"[252, 4]",34,0,0,0
602,"[252, 5]",27,41,18,0
603,"[252, 6]",12,158,64,-1
604,"[252, 7]",76,0,0,0
605,"[252, 8]",335,2,1,0
606,"[253, 0]",1,0,0,0
607,"[253, 1]",2,158,64,0
608,"[254, 0]",1,0,0,0
609,"[254, 1]",2,158,64,0
610,"[255, 0]",1,0,0,0
611,"[255, 1]",2,2,1,0
612,"[256, 0]",1,41,18,0
613,"[257, 0]",1,0,0,0
614,"[258, 0]",1,2,1,0
615,"[259, 0]",1,13,6,0
616,"[260, 0]",1,59,28,0
617,"[261, 0]",1,158,64,0
618,"[262, 0]",1,2,1,0
619,"[263, 0]",1,41,18,0
620,"[264, 0]",1,2,1,0
621,"[265, 0]",1,0,0,0
622,"[265, 1]",2,0,0,0
623,"[265, 2]",30,0,0,4
624,"[265, 3]",44,54,24,0
625,"[266, 0]",1,156,64,0
626,"[267, 0]",1,0,0,0
627,"[267, 1]",2,2,1,0
628,"[268, 0]",1,0,0,0
629,"[268, 1]",7,0,0,0
630,"[268, 2]",3,158,64,0
631,"[268, 3]",2,2,1,0
632,"[268, 4]",30,0,0,1
633,"[268, 5]",115,2,1,3
634,"[269, 0]",1,0,0,0
635,"[269, 1]",2,158,64,0
636,"[270, 0]",1,0,0,0
637,"[270, 1]",5,0,0,0
638,"[270, 2]",3,0,0,0
639,"[270, 3]",2,0,0,0
640,"[270, 4]",50,158,64,-1
641,"[270, 5]",44,0,0,0
642,"[270, 6]",26,0,0,0
643,"[270, 7]",117,59,28,-1
644,"[270, 8]",96,2,1,0
645,"[271, 0]",1,0,0,1
646,"[271, 1]",2,158,64,0
647,"[272, 0]",1,0,0,0
648,"[272, 1]",3,57,26,6
649,"[272, 2]",2,0,0,-1
650,"[272, 3]",46,2,1,-1
651,"[273, 0]",1,0,0,0
652,"[273, 1]",4,0,0,0
653,"[273, 2]",3,0,0,0
654,"[273, 3]",2,0,0,0
655,"[273, 4]",50,158,64,0
656,"[273, 5]",49,2,1,0
657,"[273, 6]",47,0,0,0
658,"[273, 7]",45,41,18,0
659,"[273, 8]",44,0,0,0
660,"[273, 9]",35,0,0,0
661,"[273, 10]",126,2,1,0
662,"[273, 11]",85,156,64,0
663,"[273, 12]",74,158,64,0
664,"[273, 13]",73,0,0,0
665,"[273, 14]",261,158,64,0
666,"[274, 0]",1,57,26,0
667,"[275, 0]",1,0,0,0
668,"[275, 1]",2,41,18,3
669,"[276, 0]",1,0,0,0
670,"[276, 1]",2,0,0,0
671,"[276, 2]",29,2,1,0
672,"[276, 3]",28,2,1,0
673,"[276, 4]",26,2,1,0
674,"[276, 5]",25,64,29,0
675,"[276, 6]",23,0,0,0
676,"[276, 7]",41,41,18,0
